City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,-41.879999999999995,31,20,2.06,US,2024-02-01
1,adamstown,-25.066,-130.1015,25.029999999999973,87,10,9.99,PN,2024-02-01
2,avarua,-21.2078,-159.775,28.180000000000007,78,97,3.09,CK,2024-02-01
3,grytviken,-54.2811,-36.5092,5.970000000000027,69,42,4.56,GS,2024-02-01
4,qaqortoq,60.7167,-46.0333,-12.70999999999998,90,72,1.87,GL,2024-02-01
5,tura,25.5198,90.2201,14.649999999999977,67,0,1.43,IN,2024-02-01
6,hell-ville,-13.4,48.2667,28.410000000000025,78,39,5.28,MG,2024-02-01
7,whitehorse,60.7161,-135.0538,-14.420000000000016,55,100,5.14,CA,2024-02-01
8,bilibino,68.0546,166.4372,-43.75999999999999,98,7,1.73,RU,2024-02-01
9,san luis de la loma,17.2706,-100.8939,27.230000000000018,72,100,1.18,MX,2024-02-01
10,blackmans bay,-43.0167,147.3167,14.220000000000027,58,54,1.79,AU,2024-02-01
11,muromtsevo,56.3724,75.2418,-18.75999999999999,99,72,2.01,RU,2024-02-01
12,hamilton,39.1834,-84.5333,12.420000000000016,63,0,5.66,US,2024-02-01
13,isafjordur,66.0755,-23.124,3.170000000000016,70,100,1.54,IS,2024-02-01
14,papatowai,-46.5619,169.4708,11.850000000000023,93,100,1.77,NZ,2024-02-01
15,kiunga,-6.1219,141.2906,23.649999999999977,100,100,0.46,PG,2024-02-01
16,bumba,2.1833,22.4667,27.089999999999975,49,16,1.14,CD,2024-02-01
17,mejit,10.2753,170.8646,26.660000000000025,87,58,10.42,MH,2024-02-01
18,atafu village,-8.5421,-172.5159,26.529999999999973,89,100,6.65,TK,2024-02-01
19,beau vallon,-20.4189,57.6953,27.279999999999973,78,75,7.72,MU,2024-02-01
20,vallegrande,-18.4897,-64.1069,20.029999999999973,63,99,0.71,BO,2024-02-01
21,iqaluit,63.7506,-68.5145,-31.0,62,100,3.09,CA,2024-02-01
22,gudari,19.35,83.7833,20.019999999999982,72,4,1.12,IN,2024-02-01
23,jamestown,42.097,-79.2353,4.920000000000016,94,100,5.66,US,2024-02-01
24,battagram,34.6772,73.0233,2.6899999999999977,64,5,2.55,PK,2024-02-01
25,thompson,55.7435,-97.8558,-11.759999999999991,79,75,2.57,CA,2024-02-01
26,hawaiian paradise park,19.5933,-154.9731,25.170000000000016,76,0,2.57,US,2024-02-01
27,camiri,-20.05,-63.5167,33.02999999999997,46,75,0.0,BO,2024-02-01
28,cole harbour,44.6724,-63.4751,2.3500000000000227,78,100,2.57,CA,2024-02-01
29,ola,59.5833,151.2833,-28.78,89,25,3.8,RU,2024-02-01
30,new norfolk,-42.7826,147.0587,14.870000000000005,60,32,6.21,AU,2024-02-01
31,mount pearl,47.5166,-52.7813,-0.7799999999999727,78,75,7.2,CA,2024-02-01
32,nguigmi,14.2495,13.1092,21.19999999999999,21,0,6.14,NE,2024-02-01
33,broceni,56.7,22.5333,1.3700000000000045,74,92,5.76,LV,2024-02-01
34,oyama,36.3,139.8,7.139999999999986,37,99,2.94,JP,2024-02-01
35,port-aux-francais,-49.35,70.2167,6.699999999999989,84,98,3.33,TF,2024-02-01
36,benghazi,32.1167,20.0667,14.600000000000023,57,80,6.73,LY,2024-02-01
37,moramanga,-18.9333,48.2,18.889999999999986,98,100,1.97,MG,2024-02-01
38,touros,-5.1989,-35.4608,29.439999999999998,61,6,6.0,BR,2024-02-01
39,edinburgh of the seven seas,-37.0676,-12.3116,18.55000000000001,88,93,7.37,SH,2024-02-01
40,mossel bay,-34.1831,22.146,23.110000000000014,85,100,1.22,ZA,2024-02-01
41,petropavlovsk-kamchatsky,53.0452,158.6483,-14.519999999999982,86,100,4.0,RU,2024-02-01
42,tabuk,17.4189,121.4443,19.99000000000001,92,19,1.52,PH,2024-02-01
43,hotan,37.0997,79.9269,-3.2900000000000205,87,100,3.01,CN,2024-02-01
44,stanley,54.868,-1.6985,6.0,81,20,5.14,GB,2024-02-01
45,hegang,47.4,130.3667,-24.44999999999999,92,5,2.6,CN,2024-02-01
46,airway heights,47.6446,-117.5933,6.0400000000000205,91,100,5.14,US,2024-02-01
47,prado,-17.3411,-39.2208,27.560000000000002,67,22,4.65,BR,2024-02-01
48,waitangi,-43.9535,-176.5597,15.610000000000014,98,100,1.79,NZ,2024-02-01
49,andergrove,-21.0833,149.1833,26.600000000000023,81,98,6.15,AU,2024-02-01
50,besisahar,28.2313,84.3761,11.100000000000023,48,71,3.33,NP,2024-02-01
51,punta arenas,-53.15,-70.9167,17.20999999999998,34,20,20.58,CL,2024-02-01
52,kingston,17.997,-76.7936,29.680000000000007,59,20,2.57,JM,2024-02-01
53,invercargill,-46.4,168.35,10.720000000000027,95,100,0.45,NZ,2024-02-01
54,port mathurin,-19.6833,63.4167,26.19999999999999,94,75,13.89,MU,2024-02-01
55,hola,51.5377,23.1902,2.25,81,23,7.66,PL,2024-02-01
56,tashtyp,52.7939,89.8983,-16.160000000000025,97,100,0.59,RU,2024-02-01
57,afaahiti,-17.75,-149.2833,29.079999999999984,76,84,7.61,PF,2024-02-01
58,tucupita,9.0622,-62.051,31.939999999999998,50,100,4.29,VE,2024-02-01
59,shiguai,40.7058,110.2856,-11.689999999999998,83,33,1.96,CN,2024-02-01
60,nizhneangarsk,55.7833,109.55,-25.960000000000008,85,13,2.24,RU,2024-02-01
61,san antonio de pale,-1.4014,5.6325,28.29000000000002,77,92,2.76,GQ,2024-02-01
62,puerto ayora,-0.7393,-90.3518,30.129999999999995,70,100,3.4,EC,2024-02-01
63,inhambane,-23.865,35.3833,26.139999999999986,89,20,4.63,MZ,2024-02-01
64,yellowknife,62.456,-114.3525,-11.29000000000002,100,100,8.23,CA,2024-02-01
65,nagqu,31.5,92.0,-9.04000000000002,81,100,6.28,CN,2024-02-01
66,talnakh,69.4865,88.3972,-16.399999999999977,85,100,7.53,RU,2024-02-01
67,axim,4.8699,-2.2405,27.100000000000023,85,11,3.17,GH,2024-02-01
68,harstad,68.799,16.5293,-3.1899999999999977,89,100,24.14,NO,2024-02-01
69,puerto baquerizo moreno,-0.9,-89.6,27.69999999999999,83,75,3.09,EC,2024-02-01
70,gebeit,21.0667,36.3167,13.189999999999998,24,0,6.76,SD,2024-02-01
71,fale old settlement,-9.3852,-171.2468,27.939999999999998,82,99,7.83,TK,2024-02-01
72,ilulissat,69.2167,-51.1,-18.840000000000003,78,75,8.23,GL,2024-02-01
73,fuerte olimpo,-21.0415,-57.8738,40.80000000000001,19,100,1.19,PY,2024-02-01
74,lompoc,34.6391,-120.4579,16.69999999999999,68,100,3.09,US,2024-02-01
75,polyarnyy,69.1989,33.4478,-0.38999999999998636,86,100,9.63,RU,2024-02-01
76,east london,-33.0153,27.9116,24.670000000000016,88,40,4.63,ZA,2024-02-01
77,hermanus,-34.4187,19.2345,24.480000000000018,80,5,6.69,ZA,2024-02-01
78,port alfred,-33.5906,26.891,22.470000000000027,95,70,2.24,ZA,2024-02-01
79,west island,-12.1568,96.8225,28.139999999999986,83,75,3.6,CC,2024-02-01
80,argostolion,38.1811,20.489,9.189999999999998,55,20,2.06,GR,2024-02-01
81,humaita,-7.5061,-63.0208,24.360000000000014,98,100,1.05,BR,2024-02-01
82,krasnovishersk,60.4078,57.082,-4.579999999999984,95,100,2.88,RU,2024-02-01
83,astrakhan,46.3497,48.0408,-2.920000000000016,92,100,4.92,RU,2024-02-01
84,yarovoye,52.9273,78.58,-10.139999999999986,93,100,3.28,RU,2024-02-01
85,tazacorte,28.629,-17.9293,23.689999999999998,52,0,5.66,ES,2024-02-01
86,revda,56.801,59.9303,-15.879999999999995,99,100,1.68,RU,2024-02-01
87,ghardaia,32.4909,3.6735,14.79000000000002,29,0,0.0,DZ,2024-02-01
88,saipan,15.1355,145.701,24.54000000000002,94,100,6.17,MP,2024-02-01
89,nemuro,43.3236,145.575,-8.279999999999973,63,52,8.47,JP,2024-02-01
90,scottburgh,-30.2867,30.7532,23.69999999999999,88,93,5.79,ZA,2024-02-01
91,puerto natales,-51.7236,-72.4875,16.399999999999977,44,40,12.86,CL,2024-02-01
92,kabalo,-6.05,26.9167,22.00999999999999,95,100,1.43,CD,2024-02-01
93,aswan,24.0934,32.907,14.759999999999991,33,0,3.6,EG,2024-02-01
94,albany,42.6001,-73.9662,4.529999999999973,87,100,0.89,US,2024-02-01
95,trinidad,-14.8333,-64.9,34.139999999999986,59,40,2.06,BO,2024-02-01
96,enewetak,11.3474,162.3373,26.30000000000001,83,100,12.53,MH,2024-02-01
97,salamanca,40.8333,-6.0,10.699999999999989,75,79,2.83,ES,2024-02-01
98,pirane,-25.7324,-59.1088,40.360000000000014,18,0,3.08,AR,2024-02-01
99,ngaoundere,7.3167,13.5833,21.889999999999986,21,7,3.1,CM,2024-02-01
100,klyuchi,52.2667,79.1667,-7.430000000000007,91,100,4.27,RU,2024-02-01
101,olonkinbyen,70.9221,-8.7187,-6.769999999999982,62,28,6.31,SJ,2024-02-01
102,leh,34.1667,77.5833,-9.550000000000011,85,99,2.32,IN,2024-02-01
103,bethel,41.3712,-73.414,5.990000000000009,74,100,3.6,US,2024-02-01
104,guadalupe,25.6833,-100.25,22.569999999999993,51,0,7.15,MX,2024-02-01
105,holualoa,19.6228,-155.9522,24.470000000000027,66,75,2.57,US,2024-02-01
106,chibougamau,49.9168,-74.3659,-3.0600000000000023,93,100,4.12,CA,2024-02-01
107,tiksi,71.6872,128.8694,-17.840000000000003,92,100,2.69,RU,2024-02-01
108,dongola,19.1667,30.4833,13.019999999999982,24,0,5.18,SD,2024-02-01
109,spring creek,40.7266,-115.5859,9.430000000000007,56,100,5.81,US,2024-02-01
110,andrews farm,-34.6775,138.6637,17.69999999999999,88,2,3.13,AU,2024-02-01
111,p'ot'i,42.1462,41.672,5.189999999999998,75,23,1.12,GE,2024-02-01
112,yelets,52.6237,38.5017,-0.5400000000000205,91,100,6.29,RU,2024-02-01
113,siwa oasis,29.2041,25.5195,11.860000000000014,48,20,2.88,EG,2024-02-01
114,valparaiso,-33.0393,-71.6273,24.279999999999973,66,0,6.69,CL,2024-02-01
115,ribeira grande,38.5167,-28.7,17.80000000000001,88,20,3.6,PT,2024-02-01
116,kavieng,-2.5744,150.7967,27.720000000000027,80,100,2.34,PG,2024-02-01
117,medicine hat,50.0501,-110.6683,14.160000000000025,42,0,4.12,CA,2024-02-01
118,kollo,13.3043,2.339,29.389999999999986,18,14,4.26,NE,2024-02-01
119,vorgashor,67.5833,63.95,-5.800000000000011,80,100,6.64,RU,2024-02-01
120,lydenburg,-25.0978,30.4597,14.730000000000018,83,0,2.45,ZA,2024-02-01
121,margaret river,-33.95,115.0667,17.899999999999977,87,3,3.24,AU,2024-02-01
122,bushehr,28.9684,50.8385,20.19999999999999,73,40,5.14,IR,2024-02-01
123,keflavik,64.0049,-22.5624,3.1000000000000227,100,75,3.6,IS,2024-02-01
124,parintins,-2.6283,-56.7358,31.29000000000002,66,100,1.66,BR,2024-02-01
125,taoudenni,22.6783,-3.9836,22.910000000000025,15,100,5.5,ML,2024-02-01
126,isangel,-19.55,169.2667,24.20999999999998,88,100,3.6,VU,2024-02-01
127,dryden,49.7833,-92.7503,-4.689999999999998,80,100,3.09,CA,2024-02-01
128,sheridan,44.8333,-106.9173,12.069999999999993,53,0,0.0,US,2024-02-01
129,labuan,5.2767,115.2417,27.350000000000023,88,40,2.68,MY,2024-02-01
130,tsiombe,-25.3,45.4833,23.670000000000016,76,87,7.5,MG,2024-02-01
131,arlington,32.7357,-97.1081,23.029999999999973,34,0,5.66,US,2024-02-01
132,black point,-34.6187,137.8972,17.480000000000018,83,3,4.92,AU,2024-02-01
133,codrington,-38.2667,141.9667,13.75,77,7,4.31,AU,2024-02-01
134,weno,7.4515,151.8468,26.120000000000005,94,75,3.6,FM,2024-02-01
135,dolinsk,47.35,142.8,-16.670000000000016,96,100,0.28,RU,2024-02-01
136,tolanaro,-25.0319,46.9987,25.189999999999998,78,75,8.23,MG,2024-02-01
137,ancud,-41.8697,-73.8203,18.74000000000001,80,100,3.45,CL,2024-02-01
138,happy valley-goose bay,53.3168,-60.3315,-15.680000000000007,39,20,5.14,CA,2024-02-01
139,bredasdorp,-34.5322,20.0403,21.939999999999998,91,98,3.5,ZA,2024-02-01
140,riberalta,-10.9833,-66.1,30.25999999999999,70,75,2.57,BO,2024-02-01
141,hammerfest,70.6634,23.6821,-1.6000000000000227,93,100,12.86,NO,2024-02-01
142,khovd,48.0056,91.6419,-21.03,95,97,0.53,MN,2024-02-01
143,san pedro pochutla,15.7333,-96.4667,28.99000000000001,43,94,2.89,MX,2024-02-01
144,turbat,26.0023,63.044,22.0,40,21,0.42,PK,2024-02-01
145,darwin,-12.4611,130.8418,28.139999999999986,89,75,5.14,AU,2024-02-01
146,cedeira,43.6797,-8.0209,13.939999999999998,73,37,6.36,ES,2024-02-01
147,palu,-0.8917,119.8707,24.50999999999999,95,92,0.92,ID,2024-02-01
148,muragacha,23.5333,88.4,19.029999999999973,83,42,0.98,IN,2024-02-01
149,saynshand,44.8824,110.1163,-21.639999999999986,83,28,1.1,MN,2024-02-01
150,post,33.1909,-101.3782,20.689999999999998,34,83,7.0,US,2024-02-01
151,praia da vitoria,38.7333,-27.0667,18.899999999999977,88,75,3.91,PT,2024-02-01
152,arawa,-6.2132,155.5367,25.560000000000002,88,26,0.99,PG,2024-02-01
153,nuuk,64.1835,-51.7216,-13.509999999999991,78,75,3.6,GL,2024-02-01
154,al kharijah,25.4514,30.5464,10.350000000000023,49,0,2.9,EG,2024-02-01
155,aljezur,37.3191,-8.8033,13.689999999999998,78,4,0.91,PT,2024-02-01
156,qaryat suluq,31.6682,20.2521,13.139999999999986,51,100,3.35,LY,2024-02-01
157,glazov,58.1394,52.6584,-5.430000000000007,90,100,4.2,RU,2024-02-01
158,castro,-24.7911,-50.0119,20.269999999999982,80,93,2.88,BR,2024-02-01
159,sao jose da coroa grande,-8.8978,-35.1478,28.810000000000002,71,45,5.07,BR,2024-02-01
160,mersing,2.4312,103.8405,26.100000000000023,89,20,2.57,MY,2024-02-01
161,anzio,41.4853,12.6179,11.259999999999991,73,100,1.96,IT,2024-02-01
162,kingscliff,-28.2667,153.5667,21.689999999999998,100,14,0.0,AU,2024-02-01
163,georgetown,5.4112,100.3354,28.110000000000014,81,20,2.57,MY,2024-02-01
164,souillac,-20.5167,57.5167,27.360000000000014,78,75,7.72,MU,2024-02-01
165,prince rupert,54.3161,-130.3201,7.980000000000018,93,100,3.09,CA,2024-02-01
166,sao vicente,-23.9631,-46.3919,28.470000000000027,57,20,4.12,BR,2024-02-01
167,vilyuchinsk,52.9306,158.4028,-13.699999999999989,95,100,3.14,RU,2024-02-01
168,gaozhou,21.9392,110.8461,19.439999999999998,94,26,2.1,CN,2024-02-01
169,waddan,29.1614,16.139,11.009999999999991,52,5,3.03,LY,2024-02-01
170,portel,-1.9356,-50.8211,29.379999999999995,77,61,2.25,BR,2024-02-01
171,at taj,24.2049,23.2857,8.240000000000009,44,0,4.18,LY,2024-02-01
172,betul,21.9153,77.8961,17.100000000000023,50,0,0.94,IN,2024-02-01
173,el nido,11.1858,119.3956,26.100000000000023,79,11,3.91,PH,2024-02-01
174,lerwick,60.1545,-1.1494,7.149999999999977,91,100,9.87,GB,2024-02-01
175,hilo,19.7297,-155.09,26.600000000000023,73,1,1.34,US,2024-02-01
176,port isabel,26.0734,-97.2086,25.170000000000016,70,75,7.72,US,2024-02-01
177,ushuaia,-54.8,-68.3,18.95999999999998,34,40,7.72,AR,2024-02-01
178,port elizabeth,-33.918,25.5701,22.55000000000001,91,0,6.69,ZA,2024-02-01
179,brak,27.5496,14.2714,10.5,38,4,3.26,LY,2024-02-01
180,mora,11.0461,14.1401,23.79000000000002,19,100,3.31,CM,2024-02-01
181,nar'yan-mar,67.6713,53.087,-2.569999999999993,93,100,7.6,RU,2024-02-01
182,pergamos,35.0417,33.7083,9.639999999999986,81,7,2.25,GB,2024-02-01
183,aginskoye,51.1,114.53,-26.389999999999986,95,5,1.8,RU,2024-02-01
184,kenitra,34.261,-6.5802,17.569999999999993,75,0,2.89,MA,2024-02-01
185,queenstown,-31.8976,26.8753,21.089999999999975,68,63,2.48,ZA,2024-02-01
186,carbonear,47.7332,-53.2148,-0.3299999999999841,75,33,3.64,CA,2024-02-01
187,manistee,44.2445,-86.3242,7.1200000000000045,77,40,4.12,US,2024-02-01
188,sandpoint,48.2766,-116.5533,9.990000000000009,81,96,1.71,US,2024-02-01
189,badger,64.8,-147.5333,-39.900000000000006,67,20,2.06,US,2024-02-01
190,wailua homesteads,22.0669,-159.378,20.589999999999975,85,100,1.54,US,2024-02-01
191,ust-nera,64.5667,143.2,-30.669999999999987,100,100,1.47,RU,2024-02-01
192,kodiak,57.79,-152.4072,-1.1200000000000045,64,0,6.17,US,2024-02-01
193,constantia,44.1833,28.65,2.759999999999991,57,0,4.11,RO,2024-02-01
194,island harbour,50.724,-1.2758,7.189999999999998,84,87,0.89,GB,2024-02-01
195,carauari,-4.8828,-66.8958,29.519999999999982,68,100,2.1,BR,2024-02-01
196,veraval,20.9,70.3667,22.25,81,2,3.34,IN,2024-02-01
197,qamdo,31.1667,97.2333,-10.220000000000027,47,80,3.31,CN,2024-02-01
198,taco pozo,-25.6167,-63.2833,41.74000000000001,17,97,2.39,AR,2024-02-01
199,bikenibeu village,1.3673,173.1241,28.129999999999995,94,40,3.09,KI,2024-02-01
200,walvis bay,-22.9575,14.5053,22.680000000000007,73,28,0.51,NA,2024-02-01
201,namibe,-15.1961,12.1522,25.439999999999998,78,100,4.75,AO,2024-02-01
202,dunedin,-45.8742,170.5036,13.930000000000007,93,100,3.13,NZ,2024-02-01
203,mariental,-24.6333,17.9667,29.189999999999998,36,97,5.72,NA,2024-02-01
204,arno,60.1167,18.6333,1.6999999999999886,73,53,7.12,SE,2024-02-01
205,santa elena de uairen,4.6167,-61.1333,27.720000000000027,52,100,0.91,VE,2024-02-01
206,lihue,21.9789,-159.3672,20.920000000000016,85,100,1.54,US,2024-02-01
207,rio grande,-32.035,-52.0986,31.20999999999998,62,0,5.76,BR,2024-02-01
